,id,screen_name,name,created_at,full_text,complaints,discomfort_score,month,mentions
0,172517,gptournier,Guillaume Tournier,2023-11-16 15:13:18+00:00,"  6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à aubagne sur un devis, malgré des multiples relances. je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle pour le numéro 1 du service client c’est dommage","['service client injoignable', 'problèmes avec l’application', 'délai d’intervention']",100,2023-11,['@engiepartfr']
1,172868,jouanetwan,Jouan Etwan 💚💛,2023-11-26 07:34:34+00:00,"bonjour  , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? pas de bol , le premier jour où la température est négative.",['problèmes avec l’application'],20,2023-11,['@engiepartsav']
2,173784,vince_thouvenin,thouvenin,2023-12-21 14:27:08+00:00, mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'amiens n'intervient pas malgré deux semaines de relances pour avoir de l'eau chaude ! en plein hiver c'est scandaleux  !,"['pannes et urgences', 'service client injoignable', 'délai d’intervention']",100,2023-12,['@engiepartfr']
3,174049,BiduleAnatheme,Anathème Bidule,2023-12-28 21:32:58+00:00," vous envisagez de vous occuper de l'agence fantôme du secteur grand marseille un jour, ou on va au tribunal ? et non, je n'enverrai pas un énième mail que vous ne traiterez pas. vous avez une mise en demeure à traiter. et un signalement à la .",['délai d’intervention'],60,2023-12,"['@engiepartsav', '@dgccrf']"
4,174068,vince_thouvenin,thouvenin,2023-12-29 10:08:10+00:00," retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. vous ne respectez pas vos clients...","['pannes et urgences', 'service client injoignable', 'délai d’intervention']",100,2023-12,['@engiepartsav']
5,174069,dionombo,Zawarudo 😈,2023-12-29 11:13:42+00:00, merci pour l'annulation d'entretien de dernière minute. ça me met bien dans la merde... quand au service client: ils ne comprennent rien. je retiens la leçon....,['service client injoignable'],40,2023-12,['@engiepartfr']
6,174071,hawaien88,hawaien88,2023-12-29 12:16:46+00:00,je m’explique mal où c’est les personnes du chat qui ne comprennent rien ? c’est lunaire comme échange depuis hier !!!  faites quelques choses !!! 1/9 https://t.co/wqoeefycvo,[],0,2023-12,['@engiepartfr']
7,174073,hawaien88,hawaien88,2023-12-29 14:01:48+00:00, et c’est si compliqué d’expliquer ça? vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. donc sur ma prochaine facture il n’y aura plus cette ligne? donc cette partie correspond à la consommation de quelle période? que je puisse vérifier dans ma bdd?,"['problèmes de facturation', 'pannes et urgences', 'délai d’intervention']",100,2023-12,['@engiepartsav']
8,174110,Petit20850206,Petit,2023-12-30 13:55:44+00:00," bonjour, j'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?",['délai d’intervention'],60,2023-12,['@engiepartfr']
9,174180,Jules_brdn,🇷🇸 Ajde Ana! 🇷🇸,2024-01-01 12:45:32+00:00," urgent !! une honte mon abonnement est passé à 0,32 du kwh ?!?? merci de me répondre urgemment ! alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!","['problèmes de facturation', 'pannes et urgences']",80,2024-01,['@engiepartsav']
10,174187,fhureau,François Hureau 🐦,2024-01-01 16:59:03+00:00,"bonjour , alors que le prix repère moyen de vente du gaz publié par la   est passé de 0,10406€ à 0,09990€/kwh entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? quelle est votre formule d'indexation ?","['problèmes de facturation', 'pannes et urgences']",80,2024-01,"['@engiepartsav', '@cre_energie']"
11,174213,AmirRamires,Ramirez,2024-01-02 10:24:08+00:00,     pour vous c’est normal de laisser des familles sans électricité ? plus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité  en plein mois de janvier ou les températures sont basses !,"['problèmes de facturation', 'pannes et urgences', 'service client injoignable', 'délai d’intervention']",100,2024-01,"['@enedis', '@engiegroup', '@engiepartfr', '@enedis_clients', '@enedis_paris']"
12,174248,AnneCremer2,Anne Cremer,2024-01-03 09:19:30+00:00," : j'essaie de vous joindre depuis 48 h, impossible. j'ai envoyé un mail le 28.12, pas de réponse non plus. je veux adapter le montant de mon forfait : impossible sur votre site.","['problèmes de facturation', 'service client injoignable', 'délai d’intervention']",100,2024-01,['@engiepartfr']
13,174256,Eurpbo2016,Pbo,2024-01-03 14:40:58+00:00, bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures. comment faire ? merci,"['problèmes de facturation', 'problèmes avec l’application']",50,2024-01,['@engiepartfr']
14,174283,hawaien88,hawaien88,2024-01-04 08:33:30+00:00, vous m’avez demandé de venir en privé pour qu’on ne voit pas que vous ne répondez plus. ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre à décembre. j’attends toujours une explication.,"['problèmes de facturation', 'pannes et urgences', 'délai d’intervention']",100,2024-01,['@engiepartsav']
15,174289,bbast____,Bastos en brr,2024-01-04 12:31:53+00:00,n’ayant pas twitter je passe par le compte d’un proche pour solliciter  qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. comment débloquer cette situation qui me pèse depuis des mois ?,['délai d’intervention'],60,2024-01,['@engiepartfr']
16,174290,chiquitamala,marga,2024-01-04 13:34:11+00:00,"  sommes arrivés à 624.32,  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. merci encore pour votre attention.",['délai d’intervention'],60,2024-01,"['@engiepartsav', '@engiepartfr']"
